"","station","date","max_tmpf","min_tmpf","precip","max_gust","snow","snowd","min_rh","max_rh","max_dwpf","min_dwpf","min_feel","avg_feel","max_feel","max_drct","precip_est","tmpf_est","max_gust_localts","temp_hour","avg_sknt","vector_avg_drct","min_rstage","max_rstage","id","name"
"1","DSM","2020-01-01",49,21,0,26.069286,0,NA,47.322407,84.68373,34,18,11.682011,28.459059,42.689037,220,"False","False","2020-01-01T15:25:00Z",NA,10.537657,194.1076,NA,NA,"DSM","Des Moines"
"2","DSM","2020-01-02",48,31,0,22,0,NA,60.61191,88.844124,35.1,27,23.43825,31.2982,43.408783,320,"False","False","2020-01-02T15:54:00Z",NA,7.705021,286.1529,NA,NA,"DSM","Des Moines"
"3","DSM","2020-01-03",38,30,1e-04,26.069286,0.1,NA,69.277664,92.91646,33.1,25,20.191687,25.782497,32.091175,350,"False","False","2020-01-03T18:58:00Z",NA,7.2712693,278.4947,NA,NA,"DSM","Des Moines"
"4","DSM","2020-01-04",33,23,0.01,28,0.2,NA,65.66136,92.49329,30,19.9,9.112239,17.417444,21.649496,310,"False","False","2020-01-04T04:11:00Z",NA,9.339609,304.41464,NA,NA,"DSM","Des Moines"
"5","DSM","2020-01-05",45,28,0,39.10393,0,NA,44.976147,74.8682,30,21,20.29449,28.570545,35.98605,290,"False","False","2020-01-05T12:59:00Z",NA,14.907949,284.77658,NA,NA,"DSM","Des Moines"
"6","DSM","2020-01-06",44,22,1e-04,15.641572,1e-04,NA,27.874596,88.39731,23,12,16.246609,26.893173,37.191612,220,"False","False","2020-01-06T14:21:00Z",NA,4.4107394,226.3003,NA,NA,"DSM","Des Moines"
"7","DSM","2020-01-07",44,24,0,22.593382,0,NA,44.467453,83.7507,25,9,11.44752,23.634106,36.759094,350,"False","False","2020-01-07T17:00:00Z",NA,8.611576,294.32712,NA,NA,"DSM","Des Moines"
"8","DSM","2020-01-08",29,14,0,29.545193,0,NA,36.390457,64.48191,17.1,0,1.1320161,10.485914,17.95205,110,"False","False","2020-01-08T17:11:00Z",NA,10.496513,94.504326,NA,NA,"DSM","Des Moines"
"9","DSM","2020-01-09",59,29,0,43.44881,0,NA,40.960045,81.40082,42.1,19,19.93894,36.856003,57.9,340,"False","False","2020-01-09T12:16:00Z",NA,14.368201,202.24698,NA,NA,"DSM","Des Moines"
"10","DSM","2020-01-10",31,17,0.32,34,4,4,68.80594,88.67683,21.9,9,0.55539274,12.184858,20.460064,360,"False","False","2020-01-10T19:14:00Z",NA,12.051568,2.4940774,NA,NA,"DSM","Des Moines"
"11","DSM","2020-01-11",20,11,1e-04,31.283144,1e-04,3,62.06829,76.7727,10.9,3,-6.5742183,2.8537958,18,310,"False","False","2020-01-11T00:58:00Z",NA,10.048815,348.54346,NA,NA,"DSM","Des Moines"
"12","DSM","2020-01-12",27,16,0.08,20.85543,1.4,5,73.20055,92.80228,24.8,10,7.714152,14.731879,19.388391,200,"False","False","2020-01-12T14:41:00Z",NA,5.8430963,133.6861,NA,NA,"DSM","Des Moines"
"13","DSM","2020-01-13",33,27,0.02,26.069286,0,4,80.825,95.67288,32,21.9,16.006319,21.016842,27.701664,250,"False","False","2020-01-13T17:42:00Z",NA,8.616457,155.42703,NA,NA,"DSM","Des Moines"
"14","DSM","2020-01-14",35,21,0.01,23.462358,0,2,63.305313,96.46132,33.1,18,11.682011,19.644253,27.21691,40,"False","False","2020-01-14T08:24:00Z",NA,7.7280335,304.50473,NA,NA,"DSM","Des Moines"
