wo_start_date,wo_finish_date,OrderNo,Order_Info,location_id,is_failure,cause_code,component_type
2020-06-03T00:00:00.000+0000,2020-06-03T00:00:00.000+0000,60949700,ZCS7:  Converter coolant hose - replaced,Turbine 11,1,null,Converter Cooling system
2020-06-03T00:00:00.000+0000,2020-06-03T00:00:00.000+0000,60956418,ZCS7:  Gear oil cooler motor - replaced,Turbine 10,1,null,null
2020-06-29T00:00:00.000+0000,2020-06-29T00:00:00.000+0000,60956418,ZCS7:  Gear oil cooler motor - replaced,Turbine 10,1,null,Transmission Cooling system
2020-06-04T00:00:00.000+0000,2020-06-04T00:00:00.000+0000,60956838,ZCS7:  4101 : Gear oil temperature warning,Turbine 19,1,null,null
2020-06-09T00:00:00.000+0000,2020-06-09T00:00:00.000+0000,60957019,ZCS3:  Delta temp high,Turbine 1,1,null,null
2020-06-01T00:00:00.000+0000,2020-06-02T00:00:00.000+0000,60957019,ZCS3:  Delta temp high,Turbine 1,1,null,Converter No subsystem (Converter)
2020-06-02T00:00:00.000+0000,2020-06-02T00:00:00.000+0000,60957491,ZCS7:  Converter controller - repaired,Turbine 14,1,null,null
2020-06-01T00:00:00.000+0000,2020-06-01T00:00:00.000+0000,60957491,ZCS7:  Converter controller - repaired,Turbine 14,1,null,Converter No subsystem (Converter)
2020-06-02T00:00:00.000+0000,2020-06-02T00:00:00.000+0000,60959243,ZCS7:  T097 - Converter Breaker Temp High,Turbine 6,1,null,null
2020-06-01T00:00:00.000+0000,2020-06-02T00:00:00.000+0000,60959243,ZCS7:  T097 - Converter Breaker Temp High,Turbine 6,1,null,Converter No subsystem (Converter)
2020-06-01T00:00:00.000+0000,2020-06-02T00:00:00.000+0000,60959426,ZCS7:  Converter controller - repaired,Turbine 13,1,null,null
2020-06-15T00:00:00.000+0000,2020-06-15T00:00:00.000+0000,60959426,ZCS7:  Converter controller - repaired,Turbine 13,1,null,Converter No subsystem (Converter)
2020-06-02T00:00:00.000+0000,2020-06-02T00:00:00.000+0000,60959428,ZCS7:  Converter controller - repaired,Turbine 7,1,null,null
2020-06-05T00:00:00.000+0000,2020-06-05T00:00:00.000+0000,60959428,ZCS7:  Converter controller - repaired,Turbine 7,1,null,Converter No subsystem (Converter)
2020-06-15T00:00:00.000+0000,2020-06-15T00:00:00.000+0000,60959509,ZCS7:  13303 : Inv. cool. w. temp high,Turbine 9,1,null,null
2020-06-01T00:00:00.000+0000,2020-06-01T00:00:00.000+0000,60959598,ZCS7:  STIC box not responding - replaced,Turbine 13,1,null,null
2020-06-02T00:00:00.000+0000,2020-06-02T00:00:00.000+0000,60959598,ZCS7:  STIC box not responding - replaced,Turbine 13,1,null,Monitoring equipment No Subsystem (Monitoring equipment)
2020-06-08T00:00:00.000+0000,2020-06-08T00:00:00.000+0000,60959633,ZCS3:  Gearoil blower superheated,Turbine 5,1,null,null
2020-06-03T00:00:00.000+0000,2020-06-10T00:00:00.000+0000,60959633,ZCS3:  Gearoil blower superheated,Turbine 5,1,null,Transmission Cooling system
2020-06-02T00:00:00.000+0000,2020-06-02T00:00:00.000+0000,60959667,"ZCS7:  3172 : Low oil pressure, blade B",Turbine 16,1,null,null
2020-06-05T00:00:00.000+0000,2020-06-05T00:00:00.000+0000,60959702,ZCS3:  broken yaw gear,Turbine 4,1,null,null
2020-06-02T00:00:00.000+0000,2020-06-02T00:00:00.000+0000,60959702,ZCS3:  broken yaw gear,Turbine 4,1,null,Yaw Yaw unit 3
2020-06-05T00:00:00.000+0000,2020-06-05T00:00:00.000+0000,60959843,ZCS7:  4101 : Gear oil temperature warning,Turbine 20,1,null,null
2020-06-03T00:00:00.000+0000,2020-06-05T00:00:00.000+0000,60959846,ZCS7:  4102 : Gear oil temperature high,Turbine 20,1,null,null
2020-06-04T00:00:00.000+0000,2020-06-05T00:00:00.000+0000,60960269,ZCS3:  Reactor swap,Turbine 4,1,null,null
2020-06-03T00:00:00.000+0000,2020-06-04T00:00:00.000+0000,60960269,ZCS3:  Reactor swap,Turbine 4,1,null,Protection and control system 132Kv system
2020-06-04T00:00:00.000+0000,2020-06-04T00:00:00.000+0000,60962214,ZCS7:  4112 : Gearoil level too low,Turbine 9,1,null,null
2020-06-04T00:00:00.000+0000,2020-06-05T00:00:00.000+0000,60963678,ZCS7:  UPS batteries - replaced,Turbine 10,1,null,null
2020-06-05T00:00:00.000+0000,2020-06-05T00:00:00.000+0000,60963678,ZCS7:  UPS batteries - replaced,Turbine 10,1,null,Controller UPS
2020-06-07T00:00:00.000+0000,2020-06-07T00:00:00.000+0000,60963821,ZCS7:,Turbine 17,1,null,null
2020-06-07T00:00:00.000+0000,2020-06-07T00:00:00.000+0000,61017393,ZCS7: 90616 : Converter Cabinet Generator Side,Turbine 18,1,null,null
2020-06-06T00:00:00.000+0000,2020-06-07T00:00:00.000+0000,61020571,ZCS7: 63209 : CAN:Hub Communication error,Turbine 19,1,null,null
2020-06-07T00:00:00.000+0000,2020-06-28T00:00:00.000+0000,61022811,ZCS7: 4112 : Gearoil level too low,Turbine 9,1,null,null
2020-06-08T00:00:00.000+0000,2020-06-08T00:00:00.000+0000,61022901,"ZCS7: 3174 : Low oil pressure, pump station",Turbine 18,1,null,null
2020-06-09T00:00:00.000+0000,2020-06-09T00:00:00.000+0000,61023067,ZCS7: Converter coolant hose - repaired,Turbine 15,1,null,null
2020-06-08T00:00:00.000+0000,2020-06-08T00:00:00.000+0000,61023067,ZCS7: Converter coolant hose - repaired,Turbine 15,1,null,Converter Cooling system
2020-06-09T00:00:00.000+0000,2020-06-09T00:00:00.000+0000,61023169,ZCS7: 4112 : Gearoil level too low,Turbine 17,1,null,null
2020-06-09T00:00:00.000+0000,2020-06-09T00:00:00.000+0000,61023263,ZCS7: 4112 : Gearoil level too low,Turbine 16,1,null,null
2020-06-09T00:00:00.000+0000,2020-06-09T00:00:00.000+0000,61024712,ZCS3: UPS battery Failure,Turbine 8,1,null,null
2020-06-14T00:00:00.000+0000,2020-06-14T00:00:00.000+0000,61024712,ZCS3: UPS battery Failure,Turbine 8,1,null,Controller UPS
2020-06-09T00:00:00.000+0000,2020-06-09T00:00:00.000+0000,61024997,ZCS7: 4112 : Gearoil level too low,Turbine 17,1,null,null
2020-06-09T00:00:00.000+0000,2020-06-09T00:00:00.000+0000,61025128,ZCS7: UPS system - replaced,Turbine 7,1,null,null
2020-06-10T00:00:00.000+0000,2020-06-10T00:00:00.000+0000,61025128,ZCS7: UPS system - replaced,Turbine 7,1,null,Controller UPS
2020-06-10T00:00:00.000+0000,2020-06-10T00:00:00.000+0000,61025175,ZCS7: Low coolant,Turbine 1,1,null,null
2020-06-10T00:00:00.000+0000,2020-06-10T00:00:00.000+0000,61025175,ZCS7: Low coolant,Turbine 1,1,null,Converter Cooling system
2020-06-10T00:00:00.000+0000,2020-06-10T00:00:00.000+0000,61025361,ZCS7: UPS battery failure,Turbine 5,1,null,null
2020-06-10T00:00:00.000+0000,2020-06-10T00:00:00.000+0000,61025361,ZCS7: UPS battery failure,Turbine 5,1,null,Controller UPS
2020-06-10T00:00:00.000+0000,2020-06-10T00:00:00.000+0000,61025572,ZCS7: 4112 : Gearoil level too low,Turbine 17,1,null,null
2020-06-10T00:00:00.000+0000,2020-06-10T00:00:00.000+0000,61025673,ZCS7:,Turbine 17,1,null,null
2020-06-10T00:00:00.000+0000,2020-06-10T00:00:00.000+0000,61026217,ZCS7: UPS bypass error - replaced ups system,Turbine 7,1,null,null
